beta,outlierRatio,repeat,seed,Ncorr,Ns,trueTLS,bestASBS_TLS,bestRandom_TLS,bestASBS_rotErrDeg,bestRandom_rotErrDeg,medianSample_rotErrDeg,fracSamplesBelow5Deg,fracSamplesBelow10Deg,activeCount,trueInliersActive,trueOutliersClipped,lossUFinal,lossHFinal,bestTrainFinal,bestTrainOverall
2,0.75,1,176300,1000,500,6274.04107239883,6283.65176712164,6640.58700142012,2.3208827297145,9.15133834343172,15.992069614235,0.052,0.202,258,243,735,38649824,11.598072052002,6289.93204845997,6270.94354359961
2,0.75,1,176300,1000,1000,6274.04107239883,6283.65176712164,6640.58700142012,2.3208827297145,9.15133834343172,16.1258399478299,0.043,0.18,258,243,735,38649824,11.598072052002,6289.93204845997,6270.94354359961
2,0.75,1,176300,1000,2500,6274.04107239883,6277.8690557918,6640.58700142012,1.89978401939946,9.15133834343172,15.9185319137949,0.036,0.182,259,244,735,38649824,11.598072052002,6289.93204845997,6270.94354359961
2,0.75,1,176300,1000,5000,6274.04107239883,6273.51140690616,6321.4769294917,0.650830957773111,2.9514242455133,15.8275341760214,0.0292,0.1824,257,244,737,38649824,11.598072052002,6289.93204845997,6270.94354359961
2,0.75,1,176300,1000,10000,6274.04107239883,6273.51140690616,6321.4769294917,0.650830957773111,2.9514242455133,15.7215455907611,0.0309,0.187,257,244,737,38649824,11.598072052002,6289.93204845997,6270.94354359961
4,0.75,1,176500,1000,500,6299.99333875279,6319.04277761149,6696.52510404528,2.34355390251299,10.4363194901051,16.0858694223226,0.012,0.158,264,241,727,141270944,12.2425775527954,6313.13519225218,6299.52678678486
4,0.75,1,176500,1000,1000,6299.99333875279,6309.75699973503,6696.52510404528,2.22572973507909,10.4363194901051,15.7506139673093,0.023,0.181,264,242,728,141270944,12.2425775527954,6313.13519225218,6299.52678678486
4,0.75,1,176500,1000,2500,6299.99333875279,6300.790934109,6696.52510404528,1.08888721908817,10.4363194901051,15.6844043024049,0.0264,0.1888,266,244,728,141270944,12.2425775527954,6313.13519225218,6299.52678678486
4,0.75,1,176500,1000,5000,6299.99333875279,6300.790934109,6696.52510404528,1.08888721908817,10.4363194901051,15.6495943846217,0.0278,0.1898,266,244,728,141270944,12.2425775527954,6313.13519225218,6299.52678678486
4,0.75,1,176500,1000,10000,6299.99333875279,6300.790934109,6696.52510404528,1.08888721908817,10.4363194901051,15.5855558303989,0.0299,0.1902,266,244,728,141270944,12.2425775527954,6313.13519225218,6299.52678678486
